Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.78,0.6666666666666666,0.5333333333333333,0.5925925925925926,0.8040476190476191
Decision Tree,0.62,0.39473684210526316,0.5,0.4411764705882353,0.6464880952380953
Random Forest,0.745,0.5633802816901409,0.6666666666666666,0.6106870229007634,0.8079761904761905
