Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
SVM,0.8833333333333333,0.8888888888888888,0.8571428571428571,0.8727272727272727,0.9486607142857143
Random Forest,0.85,0.8518518518518519,0.8214285714285714,0.8363636363636363,0.9430803571428571
Logistic Regression,0.85,0.8518518518518519,0.8214285714285714,0.8363636363636363,0.9386160714285714
XGBoost,0.8833333333333333,0.8888888888888888,0.8571428571428571,0.8727272727272727,0.9140625
